country,beer_servings,spirit_servings
Afghanistan,0,0
Albania,89,132
Algeria,25,0
Andorra,245,138
Angola,217,57
Antigua & Barbuda,102,128
Argentina,193,25
Armenia,21,179
Australia,261,72
Austria,279,75
Azerbaijan,21,46
Bahamas,122,176
Bahrain,42,63
Bangladesh,0,0
Barbados,143,173
Belarus,142,373
Belgium,295,84
Belize,263,114
Benin,34,4
Bhutan,23,0
Bolivia,167,41
Bosnia-Herzegovina,76,173
Botswana,173,35
Brazil,245,145
Brunei,31,2
Bulgaria,231,252
Burkina Faso,25,7
Burundi,88,0
Cote d'Ivoire,37,1
Cabo Verde,144,56
Cambodia,57,65
Cameroon,147,1
Canada,240,122
Central African Republic,17,2
Chad,15,1
Chile,130,124
China,79,192
Colombia,159,76
Comoros,1,3
Congo,76,1
Cook Islands,0,254
Costa Rica,149,87
Croatia,230,87
Cuba,93,137
Cyprus,192,154
Czech Republic,361,170
North Korea,0,0
DR Congo,32,3
Denmark,224,81
Djibouti,15,44
Dominica,52,286
Dominican Republic,193,147
Ecuador,162,74
Egypt,6,4
El Salvador,52,69
Equatorial Guinea,92,0
Eritrea,18,0
Estonia,224,194
Ethiopia,20,3
Fiji,77,35
Finland,263,133
France,127,151
Gabon,347,98
Gambia,8,0
Georgia,52,100
Germany,346,117
Ghana,31,3
Greece,133,112
Grenada,199,438
Guatemala,53,69
Guinea,9,0
Guinea-Bissau,28,31
Guyana,93,302
Haiti,1,326
Honduras,69,98
Hungary,234,215
Iceland,233,61
India,9,114
Indonesia,5,1
Iran,0,0
Iraq,9,3
Ireland,313,118
Israel,63,69
Italy,85,42
Jamaica,82,97
Japan,77,202
Jordan,6,21
Kazakhstan,124,246
Kenya,58,22
Kiribati,21,34
Kuwait,0,0
Kyrgyzstan,31,97
Laos,62,0
Latvia,281,216
Lebanon,20,55
Lesotho,82,29
Liberia,19,152
Libya,0,0
Lithuania,343,244
Luxembourg,236,133
Madagascar,26,15
Malawi,8,11
Malaysia,13,4
Maldives,0,0
Mali,5,1
Malta,149,100
Marshall Islands,0,0
Mauritania,0,0
Mauritius,98,31
Mexico,238,68
Micronesia,62,50
Monaco,0,0
Mongolia,77,189
Montenegro,31,114
Morocco,12,6
Mozambique,47,18
Myanmar,5,1
Namibia,376,3
Nauru,49,0
Nepal,5,6
Netherlands,251,88
New Zealand,203,79
Nicaragua,78,118
Niger,3,2
Nigeria,42,5
Niue,188,200
Norway,169,71
Oman,22,16
Pakistan,0,0
Palau,306,63
Panama,285,104
Papua New Guinea,44,39
Paraguay,213,117
Peru,163,160
Philippines,71,186
Poland,343,215
Portugal,194,67
Qatar,1,42
South Korea,140,16
Moldova,109,226
Romania,297,122
Russian Federation,247,326
Rwanda,43,2
St. Kitts & Nevis,194,205
St. Lucia,171,315
St. Vincent & the Grenadines,120,221
Samoa,105,18
San Marino,0,0
Sao Tome & Principe,56,38
Saudi Arabia,0,5
Senegal,9,1
Serbia,283,131
Seychelles,157,25
Sierra Leone,25,3
Singapore,60,12
Slovakia,196,293
Slovenia,270,51
Solomon Islands,56,11
Somalia,0,0
South Africa,225,76
Spain,284,157
Sri Lanka,16,104
Sudan,8,13
Suriname,128,178
Swaziland,90,2
Sweden,152,60
Switzerland,185,100
Syria,5,35
Tajikistan,2,15
Thailand,99,258
Macedonia,106,27
Timor-Leste,1,1
Togo,36,2
Tonga,36,21
Trinidad & Tobago,197,156
Tunisia,51,3
Turkey,51,22
Turkmenistan,19,71
Tuvalu,6,41
Uganda,45,9
Ukraine,206,237
United Arab Emirates,16,135
United Kingdom,219,126
Tanzania,36,6
USA,249,158
Uruguay,115,35
Uzbekistan,25,101
Vanuatu,21,18
Venezuela,333,100
Vietnam,111,2
Yemen,6,0
Zambia,32,19
Zimbabwe,64,18
