wine_servings,total_litres_of_pure_alcohol,continent
0,0.0,Asia
54,4.9,Europe
14,0.7,Africa
312,12.4,Europe
45,5.9,Africa
45,4.9,North America
221,8.3,South America
11,3.8,Europe
212,10.4,Oceania
191,9.7,Europe
5,1.3,Europe
51,6.3,North America
7,2.0,Asia
0,0.0,Asia
36,6.3,North America
42,14.4,Europe
212,10.5,Europe
8,6.8,North America
13,1.1,Africa
0,0.4,Asia
8,3.8,South America
8,4.6,Europe
35,5.4,Africa
16,7.2,South America
1,0.6,Asia
94,10.3,Europe
7,4.3,Africa
0,6.3,Africa
7,4.0,Africa
16,4.0,Africa
1,2.2,Asia
4,5.8,Africa
100,8.2,North America
1,1.8,Africa
1,0.4,Africa
172,7.6,South America
8,5.0,Asia
3,4.2,South America
1,0.1,Africa
9,1.7,Africa
74,5.9,Oceania
11,4.4,North America
254,10.2,Europe
5,4.2,North America
113,8.2,Europe
134,11.8,Europe
0,0.0,Asia
1,2.3,Africa
278,10.4,Europe
3,1.1,Africa
26,6.6,North America
9,6.2,North America
3,4.2,South America
1,0.2,Africa
2,2.2,North America
233,5.8,Africa
0,0.5,Africa
59,9.5,Europe
0,0.7,Africa
1,2.0,Oceania
97,10.0,Europe
370,11.8,Europe
59,8.9,Africa
1,2.4,Africa
149,5.4,Europe
175,11.3,Europe
10,1.8,Africa
218,8.3,Europe
28,11.9,North America
2,2.2,North America
2,0.2,Africa
21,2.5,Africa
1,7.1,South America
1,5.9,North America
2,3.0,North America
185,11.3,Europe
78,6.6,Europe
0,2.2,Asia
0,0.1,Asia
0,0.0,Asia
0,0.2,Asia
165,11.4,Europe
9,2.5,Asia
237,6.5,Europe
9,3.4,North America
16,7.0,Asia
1,0.5,Asia
12,6.8,Asia
2,1.8,Africa
1,1.0,Oceania
0,0.0,Asia
6,2.4,Asia
123,6.2,Asia
62,10.5,Europe
31,1.9,Asia
0,2.8,Africa
2,3.1,Africa
0,0.0,Africa
56,12.9,Europe
271,11.4,Europe
4,0.8,Africa
1,1.5,Africa
0,0.3,Asia
0,0.0,Asia
1,0.6,Africa
120,6.6,Europe
0,0.0,Oceania
0,0.0,Africa
18,2.6,Africa
5,5.5,North America
18,2.3,Oceania
0,0.0,Europe
8,4.9,Asia
128,4.9,Europe
10,0.5,Africa
5,1.3,Africa
0,0.1,Asia
1,6.8,Africa
8,1.0,Oceania
0,0.2,Asia
190,9.4,Europe
175,9.3,Oceania
1,3.5,North America
1,0.1,Africa
2,9.1,Africa
7,7.0,Oceania
129,6.7,Europe
1,0.7,Asia
0,0.0,Asia
23,6.9,Oceania
18,7.2,North America
1,1.5,Oceania
74,7.3,South America
21,6.1,South America
1,4.6,Asia
56,10.9,Europe
339,11.0,Europe
7,0.9,Asia
9,9.8,Asia
18,6.3,Europe
167,10.4,Europe
73,11.5,Asia
0,6.8,Africa
32,7.7,North America
71,10.1,North America
11,6.3,North America
24,2.6,Oceania
0,0.0,Europe
140,4.2,Africa
0,0.1,Asia
7,0.3,Africa
127,9.6,Europe
51,4.1,Africa
2,6.7,Africa
11,1.5,Asia
116,11.4,Europe
276,10.6,Europe
1,1.2,Oceania
0,0.0,Africa
81,8.2,Africa
112,10.0,Europe
0,2.2,Asia
0,1.7,Africa
7,5.6,South America
2,4.7,Africa
186,7.2,Europe
280,10.2,Europe
16,1.0,Asia
0,0.3,Asia
1,6.4,Asia
86,3.9,Europe
4,0.1,Asia
19,1.3,Africa
5,1.1,Oceania
7,6.4,North America
20,1.3,Africa
7,1.4,Asia
32,2.2,Asia
9,1.0,Oceania
0,8.3,Africa
45,8.9,Europe
5,2.8,Asia
195,10.4,Europe
1,5.7,Africa
84,8.7,North America
220,6.6,South America
8,2.4,Asia
11,0.9,Oceania
3,7.7,South America
1,2.0,Asia
0,0.1,Asia
4,2.5,Africa
4,4.7,Africa
